"","word","n"
"1","ui ux",13
"2","user experience",13
"3","user interface",11
"4","web design",9
"5","graphic design",8
"6","medical imaging",8
"7","adobe creative",7
"8","interface design",7
"9","creative suite",6
"10","photoshop illustrator",6
