department,code,title,description,credit,advised_requisite,pre_requisite
Technical Communications Courses | Michigan Engineering,TCHNCLCM 215,Technical Communication for Electrical and Computer Engineering,,1,NA,"Engineering 100, Corequisite"
Technical Communications Courses | Michigan Engineering,TCHNCLCM 215,Technical Communication for Electrical and Computer Engineering,,1,NA,"Engineering 100, Corequisite"
