department,code,title,description,credit,advised_requisite,pre_requisite
Robotics Courses | Michigan Engineering,ROB 501,Mathematics for Robotics,,3,NA,graduate standing or permission of instructor. Advisory
Robotics Courses | Michigan Engineering,ROB 550,Robotic Systems Laboratory,,4,NA,graduate standing or permission of instructor.
Robotics Courses | Michigan Engineering,ROB 590,Directed Study,,1,NA,Permission of instructor.
Robotics Courses | Michigan Engineering,ROB 990,Dissertation/Pre-Candidate,,1,NA,None.
Robotics Courses | Michigan Engineering,ROB 995,Dissertation/Candidate,,4,NA,Doctoral candidacy.
